block,n_lakes,method,method_key,rmse_h1,rmse_h3,rmse_h6,rmse_h12,n_h1,n_h3,n_h6,n_h12
SARIMA(X),3.0,No exogenous,SARIMA,0.07,0.109,0.13,0.14,,,,
SARIMA(X),3.0,All vars,SARIMAX_all_vars,0.067,0.104,0.121,0.128,,,,
SARIMA(X),3.0,Stepwise,SARIMAX_Stepwise,0.068,0.105,0.124,0.127,,,,
SARIMA(X),3.0,CCM direct,SARIMAX_CCM_direct,0.069,0.113,0.138,0.144,,,,
SARIMA(X),3.0,CCM ancestors,SARIMAX_CCM_ancestors,0.068,0.11,0.133,0.141,,,,
SARIMA(X),3.0,Persistence,Persistence,0.075,0.124,0.154,0.152,,,,
XGBoost,9.0,AR-only,XGBoost_AR_only,0.195,0.366,0.49,0.33,,,,
XGBoost,9.0,All vars,XGBoost_all_vars,0.198,0.308,0.357,0.257,,,,
XGBoost,9.0,Stepwise,XGBoost_Stepwise,0.194,0.293,0.338,0.211,,,,
XGBoost,9.0,CCM direct,XGBoost_CCM_direct,0.192,0.31,0.365,0.248,,,,
XGBoost,9.0,CCM ancestors,XGBoost_CCM_ancestors,0.19,0.303,0.359,0.26,,,,
XGBoost,9.0,Persistence,Persistence,0.18,0.412,0.607,0.62,,,,
unmatched,,SARIMAX,SARIMAX_CCM_neighbor,0.082,0.11,0.117,0.093,1.0,1.0,1.0,1.0
unmatched,,XGBoost,XGBoost_CCM_neighbor,0.222,0.332,0.381,0.324,8.0,8.0,8.0,5.0
