family,strategy,reference,lakes,tests,significant,favouring_strategy,favouring_reference,significant_by_horizon
XGBoost,CCM-direct,AR-only,9,35,7,5,2,0 / 2 / 1 / 4
XGBoost,CCM-ancestors,AR-only,9,35,6,5,1,0 / 2 / 1 / 3
XGBoost,CCM-ancestors,Persistence,9,34,5,5,0,0 / 0 / 1 / 4
XGBoost,CCM-ancestors,All-vars,9,35,3,2,1,1 / 0 / 0 / 2
XGBoost,CCM-ancestors,Stepwise,9,35,5,3,2,0 / 1 / 1 / 3
XGBoost,CCM-neighbour,CCM-ancestors,8,28,4,2,2,1 / 0 / 1 / 2
SARIMA(X),CCM-ancestors,SARIMA,4,16,2,1,1,0 / 0 / 1 / 1
SARIMA(X),CCM-ancestors,Stepwise,3,12,1,1,0,1 / 0 / 0 / 0
SARIMA(X),CCM-ancestors,CCM-direct,4,16,1,1,0,1 / 0 / 0 / 0
SARIMA(X),CCM-neighbour,CCM-ancestors,1,4,0,0,0,0 / 0 / 0 / 0
