lake,method,rmse,mae,nse,pbias,n_eval,n_selected_vars,arima_order,arima_seasonal_order,min_exog_lag,n_foresight_free_months,frac_foresight_free,status
Kalamalka_Lake,SARIMA,0.1988122265286405,0.1593904864304126,-1.6343479424155665,88.1343050912868,37.0,0.0,"(1, 0, 1)","(0, 0, 0, 12)",,37.0,1.0,
Kalamalka_Lake,Persistence,0.1351858082757396,0.1087684112684112,-0.2180052537066377,-34.34545370232001,37.0,0.0,,,,37.0,1.0,
Kalamalka_Lake,XGBoost_AR_only,0.1869204157020013,0.1613359270426753,-1.3286297088631316,93.44214417599618,37.0,0.0,,,,37.0,1.0,
Kalamalka_Lake,SARIMAX_all_vars,0.190953703626454,0.1566352798002712,-1.4302062292799866,86.82123379012037,37.0,6.0,"(1, 0, 1)","(1, 0, 0, 12)",1.0,1.0,0.027027027027027,
Kalamalka_Lake,XGBoost_all_vars,0.20184990797673,0.1707371276027225,-1.715464121757441,100.50404861006264,37.0,6.0,,,1.0,1.0,0.027027027027027,
Kalamalka_Lake,SARIMAX_CCM_direct,0.2003666433229534,0.1625872230334296,-1.6757023669337832,91.4552573880814,37.0,3.0,"(2, 0, 0)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Kalamalka_Lake,XGBoost_CCM_direct,0.2293794165513689,0.1797501850439253,-2.5066776469775847,103.76804826182467,37.0,3.0,,,1.0,1.0,0.027027027027027,
Kalamalka_Lake,SARIMAX_CCM_ancestors,0.1993078016880289,0.1578879252725905,-1.6474974809776095,84.51623535170954,37.0,6.0,"(1, 0, 2)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Kalamalka_Lake,XGBoost_CCM_ancestors,0.2282995221062463,0.1879572412254492,-2.4737372224175167,106.46226722844452,37.0,6.0,,,1.0,1.0,0.027027027027027,
Kalamalka_Lake,SARIMAX_Stepwise,0.1916082424304457,0.1565828306274124,-1.4468949913911944,85.5206863017081,37.0,4.0,"(1, 0, 1)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Kalamalka_Lake,XGBoost_Stepwise,0.2111542946587267,0.1840511302062291,-1.9715756805699476,107.40370907663647,37.0,4.0,,,1.0,1.0,0.027027027027027,
Kalamalka_Lake,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Kalamalka_Lake,XGBoost_CCM_neighbor,,,,,0.0,11.0,,,1.0,1.0,0.027027027027027,
Kiskitto_Lake,SARIMA,0.2370461801614639,0.1858078715580167,-1.2894616976133508,-80.98329716550853,24.0,0.0,"(1, 1, 0)","(0, 0, 0, 12)",,37.0,1.0,
Kiskitto_Lake,Persistence,0.2287513264921942,0.1765764923576043,-1.1320368259231008,-75.925630035151,24.0,0.0,,,,37.0,1.0,
Kiskitto_Lake,XGBoost_AR_only,0.2959297399602739,0.2356698705564781,-2.568162992314156,65.77685453654557,24.0,0.0,,,,37.0,1.0,
Kiskitto_Lake,SARIMAX_all_vars,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Kiskitto_Lake,XGBoost_all_vars,0.3608443176451831,0.2653180157413762,-4.305266453096826,58.332584680194024,24.0,6.0,,,1.0,1.0,0.027027027027027,
Kiskitto_Lake,SARIMAX_CCM_direct,0.2347015925545294,0.1849642525487996,-1.2443962402545887,-81.0384215506819,24.0,1.0,"(1, 1, 0)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Kiskitto_Lake,XGBoost_CCM_direct,0.1254691531392048,0.0909265187718683,0.3585816312710583,-1.8060529708093571,24.0,1.0,,,1.0,1.0,0.027027027027027,
Kiskitto_Lake,SARIMAX_CCM_ancestors,0.2347015925545294,0.1849642525487996,-1.2443962402545887,-81.0384215506819,24.0,1.0,"(1, 1, 0)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Kiskitto_Lake,XGBoost_CCM_ancestors,0.1254691531392048,0.0909265187718683,0.3585816312710583,-1.8060529708093571,24.0,1.0,,,1.0,1.0,0.027027027027027,
Kiskitto_Lake,SARIMAX_Stepwise,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Kiskitto_Lake,XGBoost_Stepwise,0.2074024944371275,0.1700878933340988,-0.7526508598657213,26.04974906332563,24.0,5.0,,,1.0,1.0,0.027027027027027,
Lake_of_the_Woods,SARIMA,0.3482860742669177,0.1978802649864503,-0.1873467998855906,357.54588604544847,37.0,0.0,"(2, 1, 3)","(0, 0, 2, 12)",,37.0,1.0,
Lake_of_the_Woods,Persistence,0.452420689021841,0.3201893898506252,-1.0035043026255868,727.9673330050963,37.0,0.0,,,,37.0,1.0,
Lake_of_the_Woods,XGBoost_AR_only,0.3251644584511456,0.1850351657834777,-0.034931260505177,300.40162646808136,37.0,0.0,,,,37.0,1.0,
Lake_of_the_Woods,SARIMAX_all_vars,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Lake_of_the_Woods,XGBoost_all_vars,0.2714640075550127,0.1674652576841033,0.3501272759044337,220.22767524330027,32.0,6.0,,,1.0,1.0,0.027027027027027,
Lake_of_the_Woods,SARIMAX_CCM_direct,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Lake_of_the_Woods,XGBoost_CCM_direct,0.3268379328427106,0.204807583359365,0.0579613807496229,191.77470036843417,32.0,4.0,,,1.0,1.0,0.027027027027027,
Lake_of_the_Woods,SARIMAX_CCM_ancestors,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Lake_of_the_Woods,XGBoost_CCM_ancestors,0.3282441827531592,0.1846773836465693,0.0498375279076607,203.94525595080108,32.0,6.0,,,1.0,1.0,0.027027027027027,
Lake_of_the_Woods,SARIMAX_Stepwise,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Lake_of_the_Woods,XGBoost_Stepwise,0.2599343823840952,0.1653592537375203,0.4041578049428721,217.83144173185596,32.0,5.0,,,1.0,1.0,0.027027027027027,
Lake_of_the_Woods,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Lake_of_the_Woods,XGBoost_CCM_neighbor,0.2885843281157561,0.1749049119257328,0.2655719047444975,126.2910601118556,32.0,7.0,,,1.0,1.0,0.027027027027027,
Okanagan_Lake,SARIMA,0.0932004377501492,0.0766708861428779,-0.2300915118083353,76.23264367659017,37.0,0.0,"(1, 0, 1)","(0, 0, 0, 12)",,37.0,1.0,
Okanagan_Lake,Persistence,0.1970432013924018,0.1782259759759758,-4.498249294786799,-269.06781993698246,37.0,0.0,,,,37.0,1.0,
Okanagan_Lake,XGBoost_AR_only,0.142136730477265,0.1085958890333541,-1.86097563943446,-81.57869637207344,37.0,0.0,,,,37.0,1.0,
Okanagan_Lake,SARIMAX_all_vars,0.0677243988544736,0.0563212670631607,0.3504810372389396,28.419987834838313,37.0,6.0,"(1, 0, 2)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Okanagan_Lake,XGBoost_all_vars,0.0890200789246982,0.066857367666212,-0.1222186122341879,5.850832451576028,37.0,6.0,,,1.0,1.0,0.027027027027027,
Okanagan_Lake,SARIMAX_CCM_direct,0.1020195475628821,0.0827520923218733,-0.4739009666610654,70.2722312600135,37.0,2.0,"(3, 0, 0)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Okanagan_Lake,XGBoost_CCM_direct,0.1144856700125851,0.0859600883440678,-0.8561102864679699,7.59742687917809,37.0,2.0,,,1.0,1.0,0.027027027027027,
Okanagan_Lake,SARIMAX_CCM_ancestors,0.1014375133957582,0.0831710046794444,-0.4571313643426486,73.39810022758154,37.0,6.0,"(3, 0, 2)","(1, 0, 0, 12)",1.0,1.0,0.027027027027027,
Okanagan_Lake,XGBoost_CCM_ancestors,0.1777314263070049,0.1389699134109865,-3.473320030515085,-73.79165190249746,37.0,6.0,,,1.0,1.0,0.027027027027027,
Okanagan_Lake,SARIMAX_Stepwise,0.0756215043340145,0.0600034237946384,0.1901732049717212,5.79278915058251,37.0,5.0,"(1, 0, 3)","(1, 0, 0, 12)",1.0,1.0,0.027027027027027,
Okanagan_Lake,XGBoost_Stepwise,0.0797938457522912,0.0641917887532109,0.0983451749737889,-4.099985702402542,37.0,5.0,,,1.0,1.0,0.027027027027027,
Okanagan_Lake,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Okanagan_Lake,XGBoost_CCM_neighbor,0.128209422218011,0.1182704818595654,-2.6403214982255547,-90.65674815424852,6.0,9.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMA,0.3462118094930829,0.2608200553134553,-0.277729077256039,170.02746136828247,18.0,0.0,"(2, 0, 2)","(0, 0, 0, 12)",,37.0,1.0,
Playgreen_Lake,Persistence,,,,,0.0,0.0,,,,37.0,1.0,
Playgreen_Lake,XGBoost_AR_only,0.362285166359331,0.2478121841442515,-0.3991237449124374,373.1540038788226,18.0,0.0,,,,37.0,1.0,
Playgreen_Lake,SARIMAX_all_vars,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Playgreen_Lake,XGBoost_all_vars,0.3827973980137451,0.2821473001822075,-0.5620429699666687,491.75887288795343,18.0,6.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMAX_CCM_direct,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Playgreen_Lake,XGBoost_CCM_direct,0.5140444834577323,0.4651199836911451,-1.816802698356006,969.861191089742,18.0,3.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMAX_CCM_ancestors,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Playgreen_Lake,XGBoost_CCM_ancestors,0.4915710838801287,0.4438145468018146,-1.5758921679087732,925.4354146821332,18.0,6.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMAX_Stepwise,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Playgreen_Lake,XGBoost_Stepwise,0.3826318018421622,0.2718693415953955,-0.5606917988890951,449.816038944137,18.0,4.0,,,1.0,1.0,0.027027027027027,
Playgreen_Lake,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
