lake,cause,effect,status,obs_lag,obs_rho,obs_n,E_effect,tau,p_value,p_fdr,kendall_tau,kendall_p,convergence_diagnostic_pass,statistically_significant,lag_resolution,causal_evidence,n_valid_surrogates
Kalamalka_Lake,Evap,P,OK,0,0.14087,329,7,1,0.3592814371257485,0.420329257918703,0.2777777777777778,0.3584876543209876,False,False,not_significant,False,500
Kalamalka_Lake,Evap,R,OK,5,0.36375,329,7,1,0.0019960079840319,0.0049604932147539,1.0,5.5114638447971785e-06,True,True,resolved,True,500
Kalamalka_Lake,Evap,RegFlow,OK,1,0.15237,332,4,1,0.1696606786427145,0.226214238190286,1.0,5.5114638447971785e-06,True,False,not_significant,False,500
Kalamalka_Lake,Evap,SWE,OK,6,0.41586,329,7,1,0.0019960079840319,0.0049604932147539,0.8333333333333334,0.0008542768959435,True,True,resolved,True,500
Kalamalka_Lake,Evap,T,OK,2,0.12121,326,10,1,0.373253493013972,0.4283236805078367,0.9444444444444444,4.96031746031746e-05,True,False,not_significant,False,500
Kalamalka_Lake,Evap,WL,OK,1,0.25731,319,4,1,0.0199600798403193,0.0381056069678824,1.0,5.5114638447971785e-06,True,True,resolved,True,500
Kalamalka_Lake,P,Evap,OK,3,0.2808,331,5,1,0.0019960079840319,0.0049604932147539,1.0,5.5114638447971785e-06,True,True,resolved,True,500
Kalamalka_Lake,P,R,OK,5,0.26752,329,7,1,0.0019960079840319,0.0049604932147539,0.9444444444444444,4.96031746031746e-05,True,True,resolved,True,500
Kalamalka_Lake,P,RegFlow,OK,3,0.16071,332,4,1,0.0638722554890219,0.1016149519143531,0.8333333333333334,0.0008542768959435,True,False,not_significant,False,500
Kalamalka_Lake,P,SWE,OK,1,0.21696,329,7,1,0.0099800399201596,0.0204469110559369,0.6666666666666666,0.0126653439153439,True,True,resolved,True,500
Kalamalka_Lake,P,T,OK,7,0.20592,326,10,1,0.0199600798403193,0.0381056069678824,0.7777777777777778,0.0024250440917107,True,True,resolved,True,500
Kalamalka_Lake,P,WL,OK,2,0.20871,319,4,1,0.0419161676646706,0.0709870581417809,1.0,5.5114638447971785e-06,True,False,not_significant,False,500
