cause,effect,status,obs_lag,obs_rho,obs_n,p_value,null_mean,null_std,n_valid_surrogates,convergence_diagnostic_pass,kendall_tau,kendall_p,completed_at,cause_lake,effect_lake,p_fdr,statistically_significant,lag_resolution,causal_evidence,waterway_connected,tier
Kalamalka_Lake,Kiskitto_Lake,OK,-11,0.3991,268,0.0359281437125748,0.25397126,0.072487770834896,500,False,0.3333333333333333,0.2595182980599647,2026-08-27T12:12:25,Kalamalka_Lake,Kiskitto_Lake,0.0850929719508351,False,not_significant,False,False,4_different_basin
Kalamalka_Lake,Lake_of_the_Woods,OK,-9,0.43907,320,0.0019960079840319,0.24197746,0.0631958208661648,500,True,0.9444444444444444,4.96031746031746e-05,2026-08-27T12:17:25,Kalamalka_Lake,Lake_of_the_Woods,0.0094547746612039,True,rejected_reverse,False,False,4_different_basin
Kalamalka_Lake,Okanagan_Lake,OK,1,0.6289,330,0.0019960079840319,0.2231705999999999,0.0611628055899989,500,True,0.7222222222222222,0.0058862433862433,2026-08-27T12:00:33,Kalamalka_Lake,Okanagan_Lake,0.0094547746612039,True,resolved,True,True,1_direct
Kalamalka_Lake,Playgreen_Lake,OK,-4,0.3451,289,0.0459081836327345,0.22071668,0.0668337160314881,500,False,-0.3333333333333333,0.2595182980599647,2026-08-27T12:11:20,Kalamalka_Lake,Playgreen_Lake,0.0983746792130025,False,not_significant,False,False,4_different_basin
Kalamalka_Lake,Rainy_Lake,OK,9,0.17242,322,0.5888223552894212,0.19240972,0.0657510659314478,500,True,0.7222222222222222,0.0058862433862433,2026-08-27T12:08:51,Kalamalka_Lake,Rainy_Lake,0.7065868263473054,False,not_significant,False,False,4_different_basin
Kalamalka_Lake,Sipiwesk_Lake,OK,-2,0.44669,235,0.091816367265469,0.34082252,0.0769917414795223,500,False,-0.2222222222222222,0.4767085537918871,2026-08-27T12:11:38,Kalamalka_Lake,Sipiwesk_Lake,0.1758185756147279,False,not_significant,False,False,4_different_basin
Kalamalka_Lake,Skaha_Lake,OK,2,0.10044,309,0.8962075848303394,0.1899104999999999,0.0697683374887921,500,True,0.8333333333333334,0.0008542768959435,2026-08-27T12:16:33,Kalamalka_Lake,Skaha_Lake,0.916575939031029,False,not_significant,False,False,2_same_subsystem_indirect
Kalamalka_Lake,Split_Lake,OK,3,0.44477,299,0.0179640718562874,0.293597,0.0653114904392787,500,True,0.9444444444444444,4.96031746031746e-05,2026-08-27T12:12:49,Kalamalka_Lake,Split_Lake,0.0521537570021247,False,not_significant,False,False,4_different_basin
Kalamalka_Lake,Vaseux_Lake,OK,6,0.49227,324,0.0019960079840319,0.28900552,0.0737367363634274,500,True,0.7777777777777778,0.0024250440917107,2026-08-27T12:36:16,Kalamalka_Lake,Vaseux_Lake,0.0094547746612039,True,resolved,True,False,2_same_subsystem_indirect
Kiskitto_Lake,Kalamalka_Lake,OK,6,0.40076,279,0.1876247504990019,0.32672754,0.0826314879434492,500,True,0.6666666666666666,0.0126653439153439,2026-08-27T12:05:16,Kiskitto_Lake,Kalamalka_Lake,0.3127079174983366,False,not_significant,False,False,4_different_basin
Kiskitto_Lake,Lake_of_the_Woods,OK,3,0.48112,295,0.0019960079840319,0.25373814,0.0677726345388785,500,True,0.8888888888888888,0.000242504409171,2026-08-27T11:59:00,Kiskitto_Lake,Lake_of_the_Woods,0.0094547746612039,True,resolved,True,False,3_same_basin_diff_subsystem
Kiskitto_Lake,Okanagan_Lake,OK,3,0.33032,295,0.1137724550898203,0.24811956,0.071089773032458,500,True,1.0,5.5114638447971785e-06,2026-08-27T11:55:01,Kiskitto_Lake,Okanagan_Lake,0.2089698154710986,False,not_significant,False,False,4_different_basin
Kiskitto_Lake,Playgreen_Lake,OK,1,0.53351,267,0.0019960079840319,0.24733098,0.085952556876684,500,True,0.7777777777777778,0.0024250440917107,2026-08-27T11:55:07,Kiskitto_Lake,Playgreen_Lake,0.0094547746612039,True,resolved,True,False,2_same_subsystem_indirect
Kiskitto_Lake,Rainy_Lake,OK,7,0.23942,291,0.311377245508982,0.2058317999999999,0.0729886102454348,500,True,0.8333333333333334,0.0008542768959435,2026-08-27T12:05:19,Kiskitto_Lake,Rainy_Lake,0.4246053347849755,False,not_significant,False,False,3_same_basin_diff_subsystem
Kiskitto_Lake,Sipiwesk_Lake,OK,2,0.55243,208,0.0279441117764471,0.3480951,0.1021447035170693,500,True,0.7222222222222222,0.0058862433862433,2026-08-27T12:26:23,Kiskitto_Lake,Sipiwesk_Lake,0.0698602794411177,False,not_significant,False,True,1_direct
Kiskitto_Lake,Skaha_Lake,OK,-4,0.16199,275,0.688622754491018,0.19499106,0.0642621785677734,500,False,0.3888888888888889,0.1801807760141093,2026-08-27T11:59:06,Kiskitto_Lake,Skaha_Lake,0.7945647167204053,False,not_significant,False,False,4_different_basin
Kiskitto_Lake,Split_Lake,OK,2,0.61035,267,0.0019960079840319,0.2822237999999999,0.0895872912524985,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:08:11,Kiskitto_Lake,Split_Lake,0.0094547746612039,True,resolved,True,False,2_same_subsystem_indirect
Kiskitto_Lake,Vaseux_Lake,OK,-11,0.47103,280,0.091816367265469,0.33325882,0.095488613585116,500,True,0.5555555555555556,0.0446152998236331,2026-08-27T11:54:44,Kiskitto_Lake,Vaseux_Lake,0.1758185756147279,False,not_significant,False,False,4_different_basin
Lake_of_the_Woods,Kalamalka_Lake,OK,7,0.41151,315,0.0199600798403193,0.27638152,0.0624998059748156,500,True,1.0,5.5114638447971785e-06,2026-08-27T11:58:59,Lake_of_the_Woods,Kalamalka_Lake,0.0544365813826891,False,not_significant,False,False,4_different_basin
Lake_of_the_Woods,Kiskitto_Lake,OK,2,0.31387,282,0.24750499001996,0.2697450999999999,0.0599513856035871,500,True,0.9444444444444444,4.96031746031746e-05,2026-08-27T12:12:11,Lake_of_the_Woods,Kiskitto_Lake,0.3712574850299401,False,not_significant,False,False,3_same_basin_diff_subsystem
Lake_of_the_Woods,Okanagan_Lake,OK,6,0.18845,329,0.5708582834331337,0.19878072,0.048009946522378,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:19:20,Lake_of_the_Woods,Okanagan_Lake,0.6942871014727302,False,not_significant,False,False,4_different_basin
