pair,S_ij,detected,tier,directly_connected
Sipiwesk_Lake|Split_Lake,0.94137,True,1_direct,True
Playgreen_Lake|Sipiwesk_Lake,0.732575,True,1_direct,True
Kalamalka_Lake|Okanagan_Lake,0.674965,True,1_direct,True
Lake_of_the_Woods|Rainy_Lake,0.531705,True,1_direct,True
Kiskitto_Lake|Sipiwesk_Lake,0.46745499999999995,False,1_direct,True
Skaha_Lake|Vaseux_Lake,0.322315,True,1_direct,True
Okanagan_Lake|Skaha_Lake,0.20836500000000002,False,1_direct,True
Playgreen_Lake|Split_Lake,0.73238,True,2_same_subsystem_indirect,False
Kiskitto_Lake|Split_Lake,0.533345,True,2_same_subsystem_indirect,False
Kiskitto_Lake|Playgreen_Lake,0.49190500000000004,True,2_same_subsystem_indirect,False
Kalamalka_Lake|Vaseux_Lake,0.48936999999999997,True,2_same_subsystem_indirect,False
Okanagan_Lake|Vaseux_Lake,0.400995,True,2_same_subsystem_indirect,False
Kalamalka_Lake|Skaha_Lake,0.13669,False,2_same_subsystem_indirect,False
Rainy_Lake|Sipiwesk_Lake,0.5039,True,3_same_basin_diff_subsystem,False
Rainy_Lake|Split_Lake,0.45289999999999997,True,3_same_basin_diff_subsystem,False
Lake_of_the_Woods|Sipiwesk_Lake,0.39797,True,3_same_basin_diff_subsystem,False
Kiskitto_Lake|Lake_of_the_Woods,0.397495,True,3_same_basin_diff_subsystem,False
Lake_of_the_Woods|Split_Lake,0.39285499999999995,True,3_same_basin_diff_subsystem,False
Lake_of_the_Woods|Playgreen_Lake,0.35307,False,3_same_basin_diff_subsystem,False
Kiskitto_Lake|Rainy_Lake,0.28754,False,3_same_basin_diff_subsystem,False
Playgreen_Lake|Rainy_Lake,0.274485,False,3_same_basin_diff_subsystem,False
Kalamalka_Lake|Split_Lake,0.4989,True,4_different_basin,False
Kalamalka_Lake|Sipiwesk_Lake,0.47709499999999994,True,4_different_basin,False
Kalamalka_Lake|Playgreen_Lake,0.43196,True,4_different_basin,False
Kalamalka_Lake|Lake_of_the_Woods,0.42529,False,4_different_basin,False
Kalamalka_Lake|Kiskitto_Lake,0.39993,False,4_different_basin,False
Kiskitto_Lake|Vaseux_Lake,0.396635,False,4_different_basin,False
Okanagan_Lake|Playgreen_Lake,0.390255,True,4_different_basin,False
Okanagan_Lake|Split_Lake,0.3787,False,4_different_basin,False
Kiskitto_Lake|Okanagan_Lake,0.37858,False,4_different_basin,False
Okanagan_Lake|Sipiwesk_Lake,0.37470000000000003,False,4_different_basin,False
Okanagan_Lake|Rainy_Lake,0.325205,True,4_different_basin,False
Rainy_Lake|Vaseux_Lake,0.295445,False,4_different_basin,False
Kalamalka_Lake|Rainy_Lake,0.249475,False,4_different_basin,False
Split_Lake|Vaseux_Lake,0.243095,False,4_different_basin,False
Playgreen_Lake|Vaseux_Lake,0.242525,False,4_different_basin,False
Sipiwesk_Lake|Vaseux_Lake,0.23693,False,4_different_basin,False
Lake_of_the_Woods|Okanagan_Lake,0.23185,False,4_different_basin,False
Kiskitto_Lake|Skaha_Lake,0.21994000000000002,False,4_different_basin,False
Playgreen_Lake|Skaha_Lake,0.216,False,4_different_basin,False
Sipiwesk_Lake|Skaha_Lake,0.21065,False,4_different_basin,False
Rainy_Lake|Skaha_Lake,0.200375,False,4_different_basin,False
Lake_of_the_Woods|Vaseux_Lake,0.16478500000000001,False,4_different_basin,False
Lake_of_the_Woods|Skaha_Lake,0.15982500000000002,False,4_different_basin,False
Skaha_Lake|Split_Lake,0.112795,False,4_different_basin,False
