lake,variable,break_date,p_value,mean_before,mean_after,shift
Kalamalka_Lake,WL,2020-11-01,1e-06,0.024,-0.157,-0.181
Kalamalka_Lake,RegFlow,2000-12-01,1e-06,0.6875,-0.2012,-0.8887
Okanagan_Lake,WL,1998-08-01,0.001113,0.086,-0.0152,-0.1012
Okanagan_Lake,RegFlow,2000-11-01,5.5e-05,6.5335,-1.8764,-8.41
Skaha_Lake,WL,2017-07-01,3.1e-05,0.0084,-0.0261,-0.0346
Skaha_Lake,RegFlow,2000-11-01,4.9e-05,6.2485,-1.7945,-8.043
Vaseux_Lake,WL,2012-07-01,0.0,0.0207,-0.0309,-0.0516
Vaseux_Lake,RegFlow,2021-04-01,0.0001,2.7974,-7.057,-9.8544
Rainy_Lake,WL,2008-04-01,0.0,-0.0889,0.0765,0.1654
Lake_of_the_Woods,WL,2002-09-01,0.0,0.0991,-0.039,-0.1381
Playgreen_Lake,WL,2004-08-01,1e-06,-0.0954,0.0561,0.1516
Playgreen_Lake,RegFlow,2004-09-01,1e-06,-271.8521,152.4736,424.3256
Kiskitto_Lake,RegFlow,2004-09-01,1e-06,-271.8521,152.4736,424.3256
Sipiwesk_Lake,WL,2004-10-01,1e-06,-0.317,0.1899,0.507
Sipiwesk_Lake,RegFlow,2004-10-01,0.0,-406.9936,231.0444,638.0379
Split_Lake,WL,2004-09-01,0.0,-0.3177,0.1822,0.4999
Split_Lake,RegFlow,2004-10-01,0.0,-485.6316,275.686,761.3176
